p1.nid,p2.nid
53e997fcb7602d9702006c04,53e9ab82b7602d970352916e
53e997fcb7602d9702006c04,53e9a58bb7602d9702eb2f06
53e997fcb7602d9702006c04,53e9b3d4b7602d9703ec17cb
53e997fcb7602d9702006c04,53e99ccab7602d97025814d1
53e997fcb7602d9702006c04,53e9b8a1b7602d970447a7a2
53e9980eb7602d9702024fb4,53e9b8a1b7602d970447a7a2
53e9980eb7602d9702024fb4,53e9a58bb7602d9702eb2f06
53e9988cb7602d97020c5a26,56d88e50dabfae2eeed2291a
53e9989bb7602d97020d2aa8,53e9b8a1b7602d970447a7a2
53e9989bb7602d97020d6585,53e9b3d4b7602d9703ec17cb
53e9989cb7602d97020d6f98,53e9b891b7602d9704463ede
53e9989cb7602d97020d6f98,53e9a3f4b7602d9702d0c7ad
53e9989cb7602d97020d6f98,53e9b02fb7602d9703a8c707
53e9989cb7602d97020d6f98,53e9b37ab7602d9703e5ae83
53e9989cb7602d97020d6f98,53e9b2b1b7602d9703d5ce49
53e9989cb7602d97020d6f98,53e99984b7602d97021c905a
53e9989cb7602d97020d6f98,53e9b5a8b7602d97040ebed8
53e9989cb7602d97020d6f98,53e9b3d4b7602d9703ec17cb
53e9989cb7602d97020d6f98,53e9bbbcb7602d9704809491
53e9989cb7602d97020d6f98,5736987e6e3b12023e73e0ce
53e9989cb7602d97020d6f98,53e9bc5bb7602d97048d273e
53e998cdb7602d9702106208,53e99bb2b7602d970245d0a4
53e998dbb7602d9702118020,53e9a37ab7602d9702c86d04
53e998dbb7602d9702118020,53e9bbb5b7602d97047fee95
53e998dbb7602d9702118020,53e9b2ffb7602d9703dc20f3
53e998dbb7602d9702118020,53e9b8a1b7602d970447a7a2
53e998fcb7602d9702139318,53e9b430b7602d9703f2bf63
53e998fcb7602d9702139318,53e9b1c9b7602d9703c5844b
53e9990db7602d970214ab1f,53e9b74fb7602d97042ebd26
53e9990db7602d970214ab1f,53e9babab7602d97046e6f4c
53e9990db7602d970214ab1f,53e9b8a1b7602d970447a7a2
53e99984b7602d97021c905a,53e9b69db7602d97042100c2
53e99984b7602d97021c905a,53e99df1b7602d97026b4be1
53e9998ab7602d97021caa2c,53e9addbb7602d97037e1f65
53e9998ab7602d97021caa2c,53e9aeebb7602d9703917ad1
53e9998ab7602d97021caa2c,53e99c4bb7602d97024faca4
53e9998ab7602d97021caa2c,53e99984b7602d97021c905a
53e9998ab7602d97021caa2c,53e9a2a5b7602d9702babbe9
53e9998ab7602d97021caa2c,53e9b8a1b7602d970447a7a2
53e9998ab7602d97021caa2c,5c77ab564895d9cbc63ca02a
53e9998ab7602d97021caa2c,53e9ba84b7602d97046a75b7
53e9998ab7602d97021caa2c,53e9a58bb7602d9702eb2f06
53e9998ab7602d97021caa2c,53e9b403b7602d9703ef89e4
53e999bbb7602d970220012a,53e9be50b7602d9704b0c611
53e999bbb7602d970220012a,53e9b8a1b7602d970447a7a2
53e999bbb7602d970220012a,53e9a289b7602d9702b8be48
53e999bbb7602d970220012a,53e9ad3bb7602d970371f988
53e999d2b7602d9702218fb8,53e9a58bb7602d9702eb2f06
53e999d2b7602d9702218fb8,53e9b8a1b7602d970447a7a2
53e999d8b7602d970221bfe7,53e9a37ab7602d9702c86d04
53e999d8b7602d970221bfe7,53e9b3d4b7602d9703ec17cb
53e99a1ab7602d970226eb73,53e9aad8b7602d9703457f6f
53e99a1ab7602d970226eb73,53e9b500b7602d970403014c
53e99a1ab7602d970226eb73,53e9b8a1b7602d970447a7a2
53e99a2bb7602d9702284e9f,53e9bbbcb7602d9704809491
53e99a2bb7602d97022854ca,53e9babab7602d97046e6f4c
53e99a85b7602d97022fa14d,53e9b8a1b7602d970447a7a2
53e99a85b7602d97022fa14d,53e9bbbcb7602d9704809491
53e99a85b7602d97022fa14d,53e999d8b7602d970221bfe7
53e99ac4b7602d97023428d4,53e9b8a1b7602d970447a7a2
53e99ac4b7602d97023428d4,53e9babab7602d97046e6f4c
53e99ac4b7602d97023428d4,53e9bda5b7602d9704a50337
53e99ac4b7602d97023428d4,53e99d0bb7602d97025bd46f
53e99ac4b7602d97023428d4,53e9a089b7602d9702971152
53e99ad7b7602d9702356aaa,53e9b8a1b7602d970447a7a2
