pid,name
101860,Franciscus de le Boë Sylvius
108266,Jean Le Rond d'Alembert
108295,Pierre-Simon Laplace
114992,Gilbert Jacchaeus
119097,Gemma (Jemme Reinerszoon) Frisius
119159,Johannes Winter von Andernach
119178,Andreas (Andries van Wesel) Vesalius
123974,Georg Balthasar Metzger
124000,Rudolf Wilhelm Krause
125006,Adriaan van den Spieghel
125023,Adolph Vorstius
125047,Petrus (Pierre de La Ramée) Ramus
125048,Johannes Nicolaus Stupanus
125109,Hieronymus (Girolamo Fabrici d'Acquapendente) Fabricius
125125,Emmanuel Stupanus
125142,Gabriele Falloppio
125148,Theodor Zwinger
125154,Werner Rolfinck
125159,Immanuel Tremellius
125160,Valentine Naibod
125181,Rudolph (Snel van Royen) Snellius
125232,Ludolph van Ceulen
125302,Willebrord (Snel van Royen) Snellius
125303,Matteo Realdo (Renaldus Columbus) Colombo
125378,Thomas Erpenius
125379,Tycho (Tyge Ottesen) Brahe
125408,Jacobus Golius
125416,"Jan Jansz Stampioen, Jr."
125422,Jacobus (Jacques Dubois) Sylvius
125434,Marin Mersenne
125450,"Frans van Schooten, Jr."
125488,Georg Wolffgang Wedel
125561,Christiaan Huygens
125658,Nicolas (Nicolaes Cleynaerts) Clénard
125665,Johannes (Johann Sturm) Sturmius
125681,Jacobus (Jacques Masson) Latomus
125682,Jan (Johannes Campensis) van Campen
125755,Jacob ben Jehiel Loans
125760,Johann (Johannes Kapnion) Reuchlin
125794,Matthaeus Adrianus
125846,Johann Adolph Wedel
125886,Georg Erhard Hamberger
125888,Jan Standonck
125892,Petrus (Pieter de Corte) Curtius
125894,Maarten (Martinus Dorpius) van Dorp
125897,Leo Outers
125898,Alexander Hegius
125938,Desiderius Erasmus
125971,Simon Paul Hilscher
126087,Georg von Peuerbach
126109,Johannes Müller Regiomontanus
126111,Daniel Sennert
126112,Domenico Maria Novara da Ferrara
126113,Leonhard (Leonard Vitreatoris z Dobczyc) von Dobschütz
126177,Nicolaus (Mikołaj Kopernik) Copernicus
126489,Jacobus (Jacob Harmensz.) Arminius
126571,Rutger Rescius
126659,Ulrich Zasius
126667,Jakob Milich
126724,Bonifazius Erasmi
126730,Johannes Volmar
126736,Erasmus Reinhold
126827,Georg Joachim von Leuchen Rheticus
126875,Caspar Peucer
