pid,name
66006,Bernhard Nebel
63188,Georg Lausen
95822,Wolfgang Wahlster
50689,Wilfried Brauer
234,Wolfgang Krull
5119,Alfred Loewy
61850,Gustav Conrad Bauer
7404,C. L. Ferdinand (Carl Louis) Lindemann
7401,C. Felix (Christian) Klein
7402,Julius Plücker
19964,Rudolf Otto Sigismund Lipschitz
29642,Christian Ludwig Gerling
18231,Carl Friedrich Gauß
18230,Johann Friedrich Pfaff
127710,Johann Elert Bode
66476,Abraham Gotthelf Kästner
127668,Johann Georg Büsch
60782,Johann Andreas Segner
125971,Simon Paul Hilscher
124000,Rudolf Wilhelm Krause
208258,Gerardus Leonardus Blasius
101860,Franciscus de le Boë Sylvius
125023,Adolph Vorstius
125125,Emmanuel Stupanus
114992,Gilbert Jacchaeus
128122,Duncan Liddel
128305,John Craig
128348,Paul Wittich
125148,Theodor Zwinger
125047,Petrus (Pierre de La Ramée) Ramus
125665,Johannes (Johann Sturm) Sturmius
131546,Jacques Toussain
125658,Nicolas (Nicolaes Cleynaerts) Clénard
119159,Johannes Winter von Andernach
125681,Jacobus (Jacques Masson) Latomus
125682,Jan (Johannes Campensis) van Campen
125888,Jan Standonck
125794,Matthaeus Adrianus
125760,Johann (Johannes Kapnion) Reuchlin
131444,Johannes Argyropoulos
131561,Basilios Bessarion
131575,Georgios Plethon Gemistos
134781,Elissaeus Judaeus
134780,Demetrios Kydones
146365,Nilos Kabasilas
176844,Gregory Palamas
184631,Theodore Metochites
184632,Manuel Bryennios
201288,Gregory Chioniadis
204293,Shams al‐Dīn al‐Bukhārī
217509,Nasir al-Dīn al-Ṭūsī
223724,Kamāl al-Dīn Ibn Yūnus
230926,Sharaf al-Dīn al-Ṭūsī
125755,Jacob ben Jehiel Loans
126571,Rutger Rescius
127181,Girolamo (Hieronymus Aleander) Aleandro
131447,Scipione Fortiguerra
131446,Moses Perez
131535,Angelo Poliziano
131540,Cristoforo Landino
131539,Marsilio Ficino
125422,Jacobus (Jacques Dubois) Sylvius
128987,François Dubois
128921,Jean Tagault
131517,Guillaume Budé
131541,Janus Lascaris
131443,Georgius Hermonymus
131576,Demetrios Chalcocondyles
131584,Theodoros Gazes
134873,Vittorino da Feltre
134931,Guarino da Verona
135185,Manuel Chrysoloras
152905,Vittore Trincavelli
152906,Bassiano Landi
152903,Pietro Pomponazzi
152902,Nicoletto Vernia
136726,Pietro Roccabonella
148882,Gaetano da Thiene
232227,Paolo (Nicoletti) da Venezia
164338,Sigismondo Polcastro
152904,Giovanni Battista della Monte
152901,Marco Musuro
127166,Niccolò Leoniceno
149192,Ognibene (Omnibonus Leonicenus) Bonisoli da Lonigo
127144,Pelope
127092,Valentin Thau
127011,Johannes Hommel
126956,Philipp Melanchthon
126736,Erasmus Reinhold
127107,Johannes Stöffler
126667,Jakob Milich
126659,Ulrich Zasius
125938,Desiderius Erasmus
125898,Alexander Hegius
140181,Thomas von Kempen à Kempis
128012,Rudolf Agricola
179837,Florens Florentius Radwyn Radewyns
179836,Geert Gerardus Magnus Groote
126489,Jacobus (Jacob Harmensz.) Arminius
125181,Rudolph (Snel van Royen) Snellius
125159,Immanuel Tremellius
125160,Valentine Naibod
141571,Thomas Cranmer
125006,Adriaan van den Spieghel
125109,Hieronymus (Girolamo Fabrici d'Acquapendente) Fabricius
125142,Gabriele Falloppio
127245,Antonio Musa Brasavola
125303,Matteo Realdo (Renaldus Columbus) Colombo
119178,Andreas (Andries van Wesel) Vesalius
119097,Gemma (Jemme Reinerszoon) Frisius
125892,Petrus (Pieter de Corte) Curtius
125894,Maarten (Martinus Dorpius) van Dorp
125897,Leo Outers
130248,Petrus Ryff
182090,Felix Plater
158329,Guillaume Rondelet
125886,Georg Erhard Hamberger
125846,Johann Adolph Wedel
125488,Georg Wolffgang Wedel
125154,Werner Rolfinck
126111,Daniel Sennert
127278,Jan Jessenius
127848,Jacobus Martini
128105,Cornelius Martini
200006,Albert Clampius
224249,Reinhard Bachoff von Echt
191279,Anton Bernhard Lauterbach
208259,Siegmund Jakob Baumgarten
146035,Christian Benedict Michaelis
145770,Johann Heinrich Michaelis
146034,August Hermann Francke
145708,Hiob Ludolf
146374,Johann Möller
125408,Jacobus Golius
145707,Constantijn l’Empereur van Oppyck
125378,Thomas Erpenius
125302,Willebrord (Snel van Royen) Snellius
131577,Joseph Justus Scaliger
131606,Adrien Turnèbe
125232,Ludolph van Ceulen
130913,Johannes (van den Driesche) Drusius
130995,Raoul (Rodolphus Cavellerius) le Chevalier
131235,François Vatable
131236,Paul (Paul Büchlein) Fagius
131398,Jacques (Jacobus Faber) Lefèvre d'Étaples
131399,Wolfgang Fabricius Capito
131400,Elijah ben Asher Levita
57670,Christian August Hausen
128986,Johann Andreas Planer
72669,Johann Christoph Wichmannshausen
128046,Johann Pasch
127962,Michael d. J. Walther
230796,Constantin Ziegra
127801,Aegidius Strauch
127734,Nicolaus Zapf
127424,Erasmus Schmidt
127942,Petrus Otto
127898,Sethus Calvisius
127790,Moritz Valentin Steinmetz
127864,Nikolaus Selnecker
126827,Georg Joachim von Leuchen Rheticus
184935,Johann Hoffmann
126177,Nicolaus (Mikołaj Kopernik) Copernicus
126730,Johannes Volmar
126113,Leonhard (Leonard Vitreatoris z Dobczyc) von Dobschütz
126112,Domenico Maria Novara da Ferrara
126109,Johannes Müller Regiomontanus
126888,Luca Pacioli
126087,Georg von Peuerbach
126887,Johannes von Gmunden
127264,Heinrich von Langenstein
199357,Nicole Oresme
126724,Bonifazius Erasmi
189659,Abraham Heinecke
127956,Johann Andreas Quenstedt
128097,Georg Calixt
128104,Johannes Caselius
127724,Christoph Nottnagel
127606,Ambrosius Rhodius
221101,Anton Euonymus
221100,Leonhard Etzler
127098,Johannes Kepler
127459,Melchior Jöstel
125379,Tycho (Tyge Ottesen) Brahe
127461,Ernestus Hettenbach
127049,Michael Maestlin
126875,Caspar Peucer
127039,Philipp Apian
127020,Samuel Heyland
127110,Michael Beuther
127061,Valentin (Valentinus Otho) Otto
127275,Andreas Schato
127252,Salomon Alberti
126957,Sebastian (Theodoricus) Dietrich
128938,Rudolf Jakob Camerarius
123974,Georg Balthasar Metzger
76481,"Elias Rudolph Camerarius, Sr."
182088,Johann Jakob von Brunn
125048,Johannes Nicolaus Stupanus
182089,Gottfried Möbius
21235,Otto Mencke
137705,Jakob Thomasius
143630,Friedrich Leibniz
17946,Gustav Peter Lejeune Dirichlet
47064,Martin Ohm
17981,Jean-Baptiste Joseph Fourier
17865,Siméon Denis Poisson
17864,Joseph Louis Lagrange
146036,Giovanni Battista (Giambattista) Beccaria
38586,Leonhard Euler
53410,Johann Bernoulli
129628,Nikolaus Eglinger
54440,Jacob Bernoulli
129708,Johann Caspar Bauhin
143011,Nicolas Malebranche
60985,Gottfried Wilhelm Leibniz
125561,Christiaan Huygens
125450,"Frans van Schooten, Jr."
125434,Marin Mersenne
125416,"Jan Jansz Stampioen, Jr."
143859,Bartholomäus Leonhard Schwendendörffer
60984,Erhard Weigel
144221,Philipp Müller
144220,Christoph Meurer
143084,Peter Werenfels
143083,"Theodor Zwinger, Jr."
143082,Sebastian Beck
143045,Johann Jacob Grynaeus
182092,Simon Sulzer
182045,Simon Grynaeus
143044,Jacob Andreae
152648,Jakob Beuerlin
152647,Balthasar Kaeuffelin
108295,Pierre-Simon Laplace
108266,Jean Le Rond d'Alembert
47025,Karl Christian von Langsdorf
58560,Wolffried Stucky
20296,Robert W. Berger
21668,Günter Hotz
19950,Friedrich Karl Schmidt
15252,Kurt Reidemeister
7379,Erich Hecke
7298,David Hilbert
